Timestamp,NP Chiller High Level Status WCC_N_1_1_Motor FLA Loading,NP Chiller Hard-wired Status WCC_NP_1_1_FM_01_FR,NP Chiller High Level Status WCC_N_1_1_Running Hours,condensing_delta_t,chilled_delta_t,small_delta_t,NP WCC Power WCC_1_1_Power,cluster,cluster_id
2026-02-05 11:36:00,55,139.3952,5366.0,3.8000000000000007,5.1,1.1000000000000014,0.0,1,681
2026-02-05 11:42:00,56,146.5567,5366.0,3.8000000000000007,5.0,1.1999999999999993,0.0,1,681
2026-02-05 11:45:00,56,142.4335,5366.0,3.8999999999999986,5.1,1.1000000000000014,0.0,1,681
2026-02-05 11:48:00,55,141.059,5366.0,3.799999999999997,5.1,1.1000000000000014,0.0,1,681
2026-02-05 11:51:00,56,141.7101,5366.0,3.799999999999997,5.0,1.2000000000000028,0.0,1,681
2026-02-05 11:54:00,56,142.2888,5367.0,3.8999999999999986,5.0,1.1999999999999993,0.0,1,681
2026-02-05 11:57:00,56,144.2419,5367.0,3.8000000000000007,5.0,1.1999999999999993,0.0,1,681
2026-02-05 12:00:00,56,144.2419,5367.0,3.8000000000000007,4.9,1.0,0.0,1,681
2026-02-05 12:03:00,55,146.4844,5367.0,3.8000000000000007,4.800000000000001,1.1999999999999993,0.0,1,681
2026-02-05 12:06:00,55,143.5909,5367.0,3.8000000000000007,4.800000000000001,1.0999999999999979,0.0,1,681
2026-02-05 12:09:00,55,142.4335,5367.0,3.8000000000000007,4.8999999999999995,1.1999999999999993,0.0,1,681
2026-02-05 12:36:00,51,123.1192,5367.0,3.6000000000000014,4.8999999999999995,0.8000000000000007,0.0,1,960
2026-02-05 12:39:00,57,143.3015,5367.0,3.799999999999997,4.8,1.6000000000000014,0.0,1,681
2026-02-05 18:45:00,55,139.9016,5368.0,4.099999999999998,5.4,0.8000000000000007,0.0,1,675
2026-02-05 18:48:00,57,143.0121,5368.0,4.0,5.200000000000001,1.8000000000000007,0.0,1,675
2026-02-05 19:00:00,57,143.6632,5368.0,4.100000000000001,5.0,1.3000000000000007,0.0,1,675
2026-02-05 19:12:00,57,139.9016,5368.0,4.0,5.3,1.1000000000000014,0.0,1,675
2026-02-05 19:15:00,55,139.1783,5368.0,3.8999999999999986,5.2,1.1000000000000014,0.0,1,586
2026-02-05 19:18:00,55,138.8889,5368.0,4.0,5.1,1.0,0.0,1,586
2026-02-05 19:21:00,56,137.8762,5368.0,4.0,5.1,1.0999999999999979,0.0,1,586
2026-02-05 19:24:00,56,137.7315,5368.0,4.0,5.199999999999999,1.0999999999999979,0.0,1,586
2026-02-05 19:27:00,56,139.9016,5368.0,3.900000000000002,5.199999999999999,1.0999999999999979,0.0,1,586
2026-02-05 19:30:00,56,139.974,5368.0,4.0,5.2,1.1000000000000014,0.0,1,675
2026-02-05 19:33:00,55,137.0081,5368.0,3.8999999999999986,5.199999999999999,1.0,0.0,1,586
2026-02-05 19:39:00,56,136.8634,5368.0,3.8999999999999986,5.1,1.1000000000000014,0.0,1,586
2026-02-05 19:45:00,56,131.7274,5369.0,3.8999999999999986,5.2,1.0,0.0,1,567
2026-02-05 19:48:00,56,133.6082,5369.0,3.8999999999999986,5.199999999999999,1.0,0.0,1,567
2026-02-05 20:06:00,54,159.5775,5369.0,3.6999999999999993,4.6,1.0,0.0,1,707
2026-02-05 20:09:00,61,156.9734,5369.0,4.0,4.999999999999999,1.1999999999999993,0.0,1,673
2026-02-05 20:12:00,61,147.4971,5369.0,4.100000000000001,5.200000000000001,0.8000000000000007,0.0,1,669
2026-02-05 21:09:00,57,141.2037,5370.0,4.0,5.199999999999999,1.1000000000000014,0.0,1,675
2026-02-05 21:12:00,56,142.5058,5370.0,3.8999999999999986,5.0,1.3000000000000007,0.0,1,681
2026-02-05 21:27:00,55,145.761,5370.0,3.900000000000002,5.0,1.0999999999999979,0.0,1,675
2026-02-05 21:30:00,54,143.8802,5370.0,3.900000000000002,5.0,1.0,0.0,1,681
2026-02-05 21:33:00,55,143.9525,5370.0,3.8000000000000007,5.1,1.1000000000000014,0.0,1,681
2026-02-05 21:36:00,54,142.2164,5370.0,3.900000000000002,5.0,0.7999999999999972,0.0,1,681
2026-02-05 21:42:00,54,143.5185,5371.0,3.8000000000000007,4.9,1.0,0.0,1,681
2026-02-05 21:51:00,54,138.3102,5371.0,3.8000000000000007,5.2,1.0999999999999979,0.0,1,681
2026-02-05 21:54:00,55,139.1783,5371.0,3.8000000000000007,5.1000000000000005,0.8999999999999986,0.0,1,681
2026-02-06 07:48:00,35,83.261,5371.0,1.8000000000000007,2.0999999999999996,1.1000000000000014,0.0,1,50
2026-02-06 07:51:00,43,114.728,5371.0,3.0,3.799999999999999,0.1999999999999993,0.0,1,928
2026-02-06 07:54:00,52,120.8044,5371.0,3.8000000000000007,5.3,1.3000000000000007,0.0,1,564
2026-02-06 08:03:00,35,138.8889,5371.0,2.6000000000000014,2.9000000000000004,0.5,0.0,1,15
2026-02-06 08:06:00,36,146.0504,5371.0,2.6000000000000014,2.6999999999999993,0.5,0.0,1,28
2026-02-06 08:09:00,36,148.0035,5371.0,2.6000000000000014,2.6999999999999993,0.5,0.0,1,28
